ID,parent_ID,book_ID,quantity,unitPrice,amount
7da89dcc-48f9-49a3-b98b-a2e30814aaf5,2beaa3e2-028d-4136-afce-ef0c4f6479c8,c1b2c3d4-e5f6-7890-abcd-ef1234567805,3,8.99,26.97
0442c78f-3e08-4422-b5a5-4aa345fe204a,2beaa3e2-028d-4136-afce-ef0c4f6479c8,c1b2c3d4-e5f6-7890-abcd-ef1234567817,1,13.99,13.99
666fecc1-a622-4bd8-a9be-c28de066e7c7,2beaa3e2-028d-4136-afce-ef0c4f6479c8,c1b2c3d4-e5f6-7890-abcd-ef1234567809,1,13.49,13.49
cc42a521-98fa-4642-8967-18cb98cda1a7,2beaa3e2-028d-4136-afce-ef0c4f6479c8,c1b2c3d4-e5f6-7890-abcd-ef1234567801,1,12.99,12.99
51959646-e29c-46d5-8906-0b44b08f7eb3,c7dd02de-99ab-4976-99ac-efc97d6e0adc,c1b2c3d4-e5f6-7890-abcd-ef1234567812,1,9.99,9.99
80b7b2af-e2f2-48e0-8215-0bc9d61b67a0,c7dd02de-99ab-4976-99ac-efc97d6e0adc,c1b2c3d4-e5f6-7890-abcd-ef1234567815,1,8.49,8.49
88df9de1-547a-42cc-a74b-0dd7f577a3ae,c7dd02de-99ab-4976-99ac-efc97d6e0adc,c1b2c3d4-e5f6-7890-abcd-ef1234567805,1,8.99,8.99
c77c20e9-010e-4d29-aae6-9d6b76760122,6078f29b-82b3-49eb-97cc-0ca4b7e19c82,c1b2c3d4-e5f6-7890-abcd-ef1234567812,2,9.99,19.98
60db5d0d-4206-4f38-ba9f-3ba8a8833e93,6078f29b-82b3-49eb-97cc-0ca4b7e19c82,c1b2c3d4-e5f6-7890-abcd-ef1234567811,1,11.99,11.99
ed03c515-41e7-4298-9193-3f62ab6dfcbc,6078f29b-82b3-49eb-97cc-0ca4b7e19c82,c1b2c3d4-e5f6-7890-abcd-ef1234567814,2,7.99,15.98
e82e84f7-035f-4e79-834a-be0cdf69a747,aba6031e-41a6-4f26-915a-59f1f9a48945,c1b2c3d4-e5f6-7890-abcd-ef1234567809,2,13.49,26.98
93f216d7-e5d9-4409-b83c-aff1672acf18,aba6031e-41a6-4f26-915a-59f1f9a48945,c1b2c3d4-e5f6-7890-abcd-ef1234567810,2,14.99,29.98
a377b314-ce82-4dc7-b417-02912b6cd1f3,aba6031e-41a6-4f26-915a-59f1f9a48945,c1b2c3d4-e5f6-7890-abcd-ef1234567815,3,8.49,25.47
dcd7492d-6c76-4ca0-9ab0-bb08249533b4,b4c31e01-dbe3-4966-a30d-6cde268ccc04,c1b2c3d4-e5f6-7890-abcd-ef1234567804,3,4.99,14.97
9293cbd0-7705-4833-93a2-bc77a7e05838,b4c31e01-dbe3-4966-a30d-6cde268ccc04,c1b2c3d4-e5f6-7890-abcd-ef1234567814,2,7.99,15.98
b614b468-4fb8-4cb7-8046-63d398778152,b4c31e01-dbe3-4966-a30d-6cde268ccc04,c1b2c3d4-e5f6-7890-abcd-ef1234567803,2,5.99,11.98
