ID,book_ID,genre_ID
d1000001-0000-0000-0000-000000000001,c1b2c3d4-e5f6-7890-abcd-ef1234567801,1
d1000001-0000-0000-0000-000000000002,c1b2c3d4-e5f6-7890-abcd-ef1234567801,2
d1000001-0000-0000-0000-000000000003,c1b2c3d4-e5f6-7890-abcd-ef1234567801,4
d1000001-0000-0000-0000-000000000004,c1b2c3d4-e5f6-7890-abcd-ef1234567801,8
d1000001-0000-0000-0000-000000000005,c1b2c3d4-e5f6-7890-abcd-ef1234567802,1
d1000001-0000-0000-0000-000000000006,c1b2c3d4-e5f6-7890-abcd-ef1234567802,2
d1000001-0000-0000-0000-000000000007,c1b2c3d4-e5f6-7890-abcd-ef1234567802,4
d1000001-0000-0000-0000-000000000008,c1b2c3d4-e5f6-7890-abcd-ef1234567802,8
d1000001-0000-0000-0000-000000000009,c1b2c3d4-e5f6-7890-abcd-ef1234567803,3
d1000001-0000-0000-0000-000000000010,c1b2c3d4-e5f6-7890-abcd-ef1234567803,8
d1000001-0000-0000-0000-000000000011,c1b2c3d4-e5f6-7890-abcd-ef1234567804,1
d1000001-0000-0000-0000-000000000012,c1b2c3d4-e5f6-7890-abcd-ef1234567804,4
d1000001-0000-0000-0000-000000000013,c1b2c3d4-e5f6-7890-abcd-ef1234567805,1
d1000001-0000-0000-0000-000000000014,c1b2c3d4-e5f6-7890-abcd-ef1234567805,7
d1000001-0000-0000-0000-000000000015,c1b2c3d4-e5f6-7890-abcd-ef1234567805,6
d1000001-0000-0000-0000-000000000016,c1b2c3d4-e5f6-7890-abcd-ef1234567806,1
d1000001-0000-0000-0000-000000000017,c1b2c3d4-e5f6-7890-abcd-ef1234567806,4
d1000001-0000-0000-0000-000000000018,c1b2c3d4-e5f6-7890-abcd-ef1234567806,8
d1000001-0000-0000-0000-000000000019,c1b2c3d4-e5f6-7890-abcd-ef1234567807,1
d1000001-0000-0000-0000-000000000020,c1b2c3d4-e5f6-7890-abcd-ef1234567807,4
d1000001-0000-0000-0000-000000000021,c1b2c3d4-e5f6-7890-abcd-ef1234567807,8
d1000001-0000-0000-0000-000000000022,c1b2c3d4-e5f6-7890-abcd-ef1234567808,1
d1000001-0000-0000-0000-000000000023,c1b2c3d4-e5f6-7890-abcd-ef1234567808,6
d1000001-0000-0000-0000-000000000024,c1b2c3d4-e5f6-7890-abcd-ef1234567808,8
