ID,title,description,isbn,price,currency_code,stock,publishedDate,rating,author_ID,publisher_ID,coverImageUrl
c1b2c3d4-e5f6-7890-abcd-ef1234567801,Wuthering Heights,A tale of passion and revenge on the Yorkshire moors,9780141439556,12.99,USD,100,1847-12-01,4.2,a1b2c3d4-e5f6-7890-abcd-ef1234567801,b1b2c3d4-e5f6-7890-abcd-ef1234567801,https://covers.openlibrary.org/b/isbn/9780141439556-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567802,Jane Eyre,An orphaned governess falls in love with her mysterious employer,9780141441146,11.99,USD,85,1847-10-16,4.4,a1b2c3d4-e5f6-7890-abcd-ef1234567802,b1b2c3d4-e5f6-7890-abcd-ef1234567802,https://covers.openlibrary.org/b/isbn/9780141441146-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567803,The Raven,A narrative poem about a grieving lover visited by a raven,9780486266855,5.99,USD,200,1845-01-29,4.7,a1b2c3d4-e5f6-7890-abcd-ef1234567803,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780486266855-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567804,Eleonora,A short story of love and loss in a mystical valley,9780486295190,4.99,USD,150,1842-01-01,3.9,a1b2c3d4-e5f6-7890-abcd-ef1234567803,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780486295190-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567805,Catweazle,An 11th-century wizard accidentally travels to modern times,9780140306705,8.99,USD,60,1970-01-01,4.0,a1b2c3d4-e5f6-7890-abcd-ef1234567804,b1b2c3d4-e5f6-7890-abcd-ef1234567804,https://covers.openlibrary.org/b/isbn/9780140306705-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567806,Pride and Prejudice,A witty tale of love and social standing in Regency England,9780141439518,10.99,USD,120,1813-01-28,4.6,a1b2c3d4-e5f6-7890-abcd-ef1234567805,b1b2c3d4-e5f6-7890-abcd-ef1234567802,https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567807,Sense and Sensibility,Two sisters navigate love and heartbreak,9780141439662,9.99,USD,90,1811-01-01,4.3,a1b2c3d4-e5f6-7890-abcd-ef1234567805,b1b2c3d4-e5f6-7890-abcd-ef1234567802,https://covers.openlibrary.org/b/isbn/9780141439662-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567808,Adventures of Huckleberry Finn,A boy and escaped slave raft down the Mississippi,9780142437179,11.49,USD,75,1884-12-10,4.5,a1b2c3d4-e5f6-7890-abcd-ef1234567806,b1b2c3d4-e5f6-7890-abcd-ef1234567805,https://covers.openlibrary.org/b/isbn/9780142437179-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567809,The Great Gatsby,Jay Gatsby pursues the elusive Daisy Buchanan in Jazz-Age Long Island,9780743273565,13.49,USD,140,1925-04-10,4.4,a1b2c3d4-e5f6-7890-abcd-ef1234567807,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567810,To Kill a Mockingbird,A young girl confronts prejudice in the American South,9780061120084,14.99,USD,180,1960-07-11,4.8,a1b2c3d4-e5f6-7890-abcd-ef1234567808,b1b2c3d4-e5f6-7890-abcd-ef1234567805,https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567811,1984,A dystopian vision of total surveillance and thought control,9780451524935,11.99,USD,160,1949-06-08,4.6,a1b2c3d4-e5f6-7890-abcd-ef1234567809,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567812,Animal Farm,An allegorical fable in which farm animals revolt against humans,9780451526342,9.99,USD,130,1945-08-17,4.4,a1b2c3d4-e5f6-7890-abcd-ef1234567809,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780451526342-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567813,Brave New World,A future engineered for happiness — at the cost of freedom,9780060850524,12.49,USD,95,1932-01-01,4.3,a1b2c3d4-e5f6-7890-abcd-ef1234567810,b1b2c3d4-e5f6-7890-abcd-ef1234567805,https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567814,Frankenstein,A scientist's hubris brings forth a tragic creation,9780486282114,7.99,USD,110,1818-01-01,4.3,a1b2c3d4-e5f6-7890-abcd-ef1234567811,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780486282114-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567815,Dracula,An ancient vampire stalks Victorian England,9780486411095,8.49,USD,105,1897-05-26,4.2,a1b2c3d4-e5f6-7890-abcd-ef1234567812,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780486411095-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567816,The Picture of Dorian Gray,A young man's portrait ages while he stays beautiful and corrupt,9780141439570,9.99,USD,80,1890-07-01,4.4,a1b2c3d4-e5f6-7890-abcd-ef1234567813,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780141439570-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567817,Moby-Dick,Captain Ahab's monomaniacal hunt for the white whale,9780142437247,13.99,USD,70,1851-10-18,4.0,a1b2c3d4-e5f6-7890-abcd-ef1234567814,b1b2c3d4-e5f6-7890-abcd-ef1234567805,https://covers.openlibrary.org/b/isbn/9780142437247-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567818,Crime and Punishment,A poor student commits murder and faces psychological reckoning,9780486415871,10.49,USD,90,1866-01-01,4.5,a1b2c3d4-e5f6-7890-abcd-ef1234567815,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780486415871-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567819,Anna Karenina,A doomed love affair against the backdrop of Russian aristocracy,9780143035008,14.49,USD,65,1877-04-01,4.4,a1b2c3d4-e5f6-7890-abcd-ef1234567816,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780143035008-L.jpg?default=false
c1b2c3d4-e5f6-7890-abcd-ef1234567820,Les Misérables,Ex-convict Jean Valjean seeks redemption in 19th-century France,9780451419439,15.99,USD,55,1862-01-01,4.5,a1b2c3d4-e5f6-7890-abcd-ef1234567817,b1b2c3d4-e5f6-7890-abcd-ef1234567803,https://covers.openlibrary.org/b/isbn/9780451419439-L.jpg?default=false
